Date,Day of Week
7/23/21,Friday
7/24/21,Saturday
7/25/21,Sunday
7/26/21,Monday
7/27/21,Tuesday
7/28/21,Wednesday
7/29/21,Thursday
7/30/21,Friday
7/31/21,Saturday
8/1/21,Sunday
8/2/21,Monday
8/3/21,Tuesday
8/4/21,Wednesday
8/5/21,Thursday
8/6/21,Friday
8/7/21,Saturday
8/8/21,Sunday
8/9/21,Monday
8/10/21,Tuesday
8/11/21,Wednesday
8/12/21,Thursday
8/13/21,Friday
8/14/21,Saturday
8/15/21,Sunday
8/16/21,Monday
8/17/21,Tuesday
8/18/21,Wednesday
8/19/21,Thursday
8/20/21,Friday
8/21/21,Saturday
8/22/21,Sunday
8/23/21,Monday
8/24/21,Tuesday
8/25/21,Wednesday
8/26/21,Thursday
8/27/21,Friday
8/28/21,Saturday
8/29/21,Sunday
8/30/21,Monday
8/31/21,Tuesday
9/1/21,Wednesday
9/2/21,Thursday
9/3/21,Friday
9/4/21,Saturday
9/5/21,Sunday
9/6/21,Monday
9/7/21,Tuesday
9/8/21,Wednesday
9/9/21,Thursday
9/10/21,Friday
9/11/21,Saturday
9/12/21,Sunday
9/13/21,Monday
9/14/21,Tuesday
9/15/21,Wednesday
9/16/21,Thursday
9/17/21,Friday
9/18/21,Saturday
9/19/21,Sunday
9/20/21,Monday
9/21/21,Tuesday
9/22/21,Wednesday
9/23/21,Thursday
9/24/21,Friday
9/25/21,Saturday
9/26/21,Sunday
9/27/21,Monday
9/28/21,Tuesday
9/29/21,Wednesday
9/30/21,Thursday
10/1/21,Friday
10/2/21,Saturday
10/3/21,Sunday
10/4/21,Monday
10/5/21,Tuesday
10/6/21,Wednesday
10/7/21,Thursday
10/8/21,Friday
10/9/21,Saturday
10/10/21,Sunday
10/11/21,Monday
10/12/21,Tuesday
10/13/21,Wednesday
10/14/21,Thursday
10/15/21,Friday
10/16/21,Saturday
10/17/21,Sunday
10/18/21,Monday
10/19/21,Tuesday
10/20/21,Wednesday
10/21/21,Thursday
10/22/21,Friday
10/23/21,Saturday
10/24/21,Sunday
10/25/21,Monday
10/26/21,Tuesday
10/27/21,Wednesday
10/28/21,Thursday
10/29/21,Friday
10/30/21,Saturday
10/31/21,Sunday
11/1/21,Monday
11/2/21,Tuesday
11/3/21,Wednesday
11/4/21,Thursday
11/5/21,Friday
11/6/21,Saturday
11/7/21,Sunday
11/8/21,Monday
11/9/21,Tuesday
11/10/21,Wednesday
11/11/21,Thursday
11/12/21,Friday
11/13/21,Saturday
11/14/21,Sunday
11/15/21,Monday
11/16/21,Tuesday
11/17/21,Wednesday
11/18/21,Thursday
11/19/21,Friday
11/20/21,Saturday
11/21/21,Sunday
11/22/21,Monday
11/23/21,Tuesday
11/24/21,Wednesday
11/25/21,Thursday
11/26/21,Friday
11/27/21,Saturday
11/28/21,Sunday
11/29/21,Monday
11/30/21,Tuesday
12/1/21,Wednesday
12/2/21,Thursday
12/3/21,Friday
12/4/21,Saturday
12/5/21,Sunday
12/6/21,Monday
12/7/21,Tuesday
12/8/21,Wednesday
12/9/21,Thursday
12/10/21,Friday
12/11/21,Saturday
12/12/21,Sunday
12/13/21,Monday
12/14/21,Tuesday
12/15/21,Wednesday
12/16/21,Thursday
12/17/21,Friday
12/18/21,Saturday
12/19/21,Sunday
12/20/21,Monday
12/21/21,Tuesday
12/22/21,Wednesday
12/23/21,Thursday
12/24/21,Friday
12/25/21,Saturday
12/26/21,Sunday
12/27/21,Monday
12/28/21,Tuesday
12/29/21,Wednesday
12/30/21,Thursday
12/31/21,Friday
1/1/22,Saturday
1/2/22,Sunday
1/3/22,Monday
1/4/22,Tuesday
1/5/22,Wednesday
1/6/22,Thursday
1/7/22,Friday
1/8/22,Saturday
1/9/22,Sunday
1/10/22,Monday
1/11/22,Tuesday
1/12/22,Wednesday
1/13/22,Thursday
1/14/22,Friday
1/15/22,Saturday
1/16/22,Sunday
1/17/22,Monday
1/18/22,Tuesday
1/19/22,Wednesday
1/20/22,Thursday
1/21/22,Friday
1/22/22,Saturday
1/23/22,Sunday
1/24/22,Monday
1/25/22,Tuesday
1/26/22,Wednesday
1/27/22,Thursday
1/28/22,Friday
1/29/22,Saturday
1/30/22,Sunday
1/31/22,Monday
2/1/22,Tuesday
2/2/22,Wednesday
2/3/22,Thursday
2/4/22,Friday
2/5/22,Saturday
2/6/22,Sunday
2/7/22,Monday
2/8/22,Tuesday
2/9/22,Wednesday
2/10/22,Thursday
